codigo,codigo_nuevo,clasificador,nombre_ocupacion
5212,31,sinco,"Maquillistas, manicuristas, pedicuristas y tatuadores"
39-5093,31,onet,Shampooers
39-5011,31,onet,Barbers
39-5012,31,onet,"Hairdressers, Hairstylists, and Cosmetologists"
5211,31,sinco,"Peluqueros, barberos, estilistas y peinadores"
39-5091,31,onet,"Makeup Artists, Theatrical and Performance"
39-5094,31,onet,Skincare Specialists
39-5092,31,onet,Manicurists and Pedicurists
47-2121,32,onet,Glaziers
47-2131,32,onet,"Insulation Workers, Floor, Ceiling, and Wall"
47-2132,32,onet,"Insulation Workers, Mechanical"
47-2171,32,onet,Reinforcing Iron and Rebar Workers
47-4031,32,onet,Fence Erectors
47-4099,32,onet,"Construction and Related Workers, All Other"
47-4091,32,onet,Segmental Pavers
7133,32,sinco,"Instaladores de material aislante, de impermeabilización, vidrio y otros materiales"
7351,33,sinco,Tapiceros
7342,33,sinco,Artesanos y confeccionadores de productos textiles
7344,33,sinco,Patronistas de productos textiles
8151,33,sinco,Operadores de máquinas y equipos de hilar y bobinar fibras textiles naturales y sintética
51-6092,33,onet,Fabric and Apparel Patternmakers
51-6091,33,onet,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
51-6099,33,onet,"Textile, Apparel, and Furnishings Workers, All Other"
51-6093,33,onet,Upholsterers
8173,34,sinco,Operadores de máquinas en la elaboración de vidrio y productos de vidrio y similares
51-2099,34,onet,"Assemblers and Fabricators, All Other"
51-2093,34,onet,Timing Device Assemblers and Adjusters
51-2091,34,onet,Fiberglass Laminators and Fabricators
51-2092,34,onet,Team Assemblers
8211,34,sinco,"Ensambladores y montadores de herramientas, maquinaria, equipos y productos metálicos"
51-2011,34,onet,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-2031,34,onet,Engine and Other Machine Assemblers
53-7199,35,onet,"Material Moving Workers, All Other"
9712,35,sinco,Empacadores de objetos y mercancías
9331,35,sinco,Cargadores
53-7064,35,onet,"Packers and Packagers, Hand"
53-7062,35,onet,"Laborers and Freight, Stock, and Material Movers, Hand"
53-7061,35,onet,Cleaners of Vehicles and Equipment
53-7063,35,onet,Machine Feeders and Offbearers
53-7121,35,onet,"Tank Car, Truck, and Ship Loaders"
1411,36,sinco,"Directores y gerentes de ventas, comercialización y alquiler"
11-9141,36,onet,"Property, Real Estate, and Community Association Managers"
11-2022,36,onet,Sales Managers
11-2021,36,onet,Marketing Managers
1134,36,sinco,Directores de organizaciones agrarias
1711,36,sinco,"Coordinadores y jefes de área de ventas, comercialización y alquiler"
4111,36,sinco,Comerciantes en establecimientos
1312,37,sinco,"Directores y gerentes en producción minera, petrolera y gas"
1313,37,sinco,Directores y gerentes en generación y provisión de energía eléctrica y agua
1322,37,sinco,Directores y gerentes en comunicación y telecomunicaciones
11-9199,37,onet,"Managers, All Other"
1619,37,sinco,"Otros coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento, no clasificados anteriormente"
1622,37,sinco,Coordinadores y jefes de área en comunicación y telecomunicaciones
