"p3","ingocup","se","cv"
4111,6663.98746646766,138.366443029456,0.0207633108143883
4201,8998.17342897788,395.949679600262,0.0440033394249925
4211,5562.80265088974,141.715094096708,0.0254754847494081
4212,6187.32175212256,271.076745502385,0.0438116452258834
4213,9245.61115721183,984.560955263995,0.106489548232408
4214,7713.00775698811,225.335652079992,0.0292150169142297
4221,10218.0971732975,396.670076707068,0.0388203468786408
4222,10690.3258072433,579.968469036647,0.0542517112662447
4223,19232.4646565211,3760.74389054589,0.195541442956493
4224,2843.93239504424,141.807519283146,0.0498631822367705
4231,7197.83305884371,327.774634107535,0.0455379600260123
4232,9460.1296720061,1652.04027738509,0.17463188504421
4233,9000,0,0
4301,8863.73522458629,1992.16611892972,0.224754696350116
4311,13945.1908424908,2953.99842140797,0.211829185758231
4312,10104.4294540666,2349.25089762394,0.232497134875682
4999,7003.08724832215,2019.14836346213,0.288322605711631
5101,8969.79706377682,1049.46254686387,0.116999586434566
5111,7484.63654630237,247.000430030119,0.0330009918988176
5112,6265.31250194349,333.338586157061,0.0532038243988084
5113,4465.43243085541,438.354340915841,0.0981661569631833
5114,6176.00220962135,127.941620115533,0.0207159284878845
5115,7239.94449347392,619.078490598571,0.0855087343772605
5116,5927.23638157711,157.967186517997,0.0266510691237129
5119,4739.12625871418,699.66514646736,0.147635894946001
5201,10722.1983914209,2740.26516282232,0.255569339680832
5211,5860.75526939674,191.621806301603,0.0326957529351548
5212,6666.27392493825,391.323687533643,0.0587020113394557
5213,6913.63967055594,916.622011612581,0.132581687112842
5221,5941.98219654388,289.185781905704,0.0486682343265699
5222,4151.52719074366,155.062855840376,0.0373507985654311
5231,9900,1930.40151263928,0.194990051781745
5241,6287.7061689875,245.448324281366,0.0390362268345134
5242,5323.93439916405,292.134623404791,0.0548719427216574
5251,9718.55382384922,2190.03181223131,0.225345442534567
5252,37606.4331210191,1450.98672956149,0.0385834712080285
5253,5950.23300330033,1211.64369029172,0.203629620826558
5254,5002.92282127031,568.563545206455,0.113646275491032
5299,7233.57299536924,1710.53693125586,0.236471925057078
5301,10051.7546783105,631.861274617111,0.0628607934473901
5311,12280.6793112725,1338.28171311661,0.10897456722025
5312,9958.80486914383,252.423850124113,0.0253468014928395
5313,7065.88217942638,92.4318563855569,0.0130814318776344
5314,7959.3701734104,783.775348647673,0.0984720312752892
5319,6962.11036731891,829.818637878252,0.119190675541935
5401,18388.9729595634,4680.3090358553,0.254517152542837
5411,14745.7897971727,1361.51935102042,0.0923327519073595
5412,14267.5057660626,1192.73931912389,0.0835983064370647
5413,11453.4674175382,484.857709161251,0.0423328317517898
5419,8000,0,0
6101,8026.1115442756,525.576248544689,0.065483297315939
6111,3025.40509364535,164.252595444983,0.054291108251911
6112,4996.17243528483,191.083540172506,0.0382459858316745
6113,2152.81442072638,475.274683222341,0.220768998315228
6114,5493.01845645183,215.064279504717,0.0391522950832457
6115,4263.46832870931,645.579907975054,0.151421297920252
